Site ID,Planned Kiosk Type,Installation Status,PPT ID,Legacy ID,Borough,Council District,Community Board,Street Address,Cross Street 1,Cross Street 2,IxN Corner,Postcode,Zoning,Latitude,Longitude,Installation Complete,Activation Complete,Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Location
qu-01-125088,Link1.0,Live,125088,qu-01-125088,Queens,22,401,34-02 BROADWAY,34 STREET,35 STREET,SE,11106,C4-2A,40.760713,-73.922879,04/22/2017,06/08/2017,Astoria,4008830,4006220041,4005900,"(40.760713, -73.922879)"
bk-01-160081,Link5G_Ad,Live,,,Brooklyn,34,301,161 VARICK AVENUE,SCHOLES STREET,MESEROLE STREET,,11237,M3-1,40.711080,-73.928620,10/09/2024,03/14/2025,,,3029620001,44900,"(40.71108, -73.92862)"
qu-13-160016,Link5G_Ad,Live,,,Queens,23,413,264-21 UNION TURNPIKE,265th ST,264th ST,W,11004,R2A / C1-2,40.749170,-73.708140,02/29/2024,04/02/2025,Glen Oaks-Floral Park-New Hyde Park,4174076,4085400062,,"(40.74917, -73.70814)"
mn-04-122598,Link1.0,Live,122598,mn-04-122598,Manhattan,3,104,815 8 AVENUE,WEST 49 STREET,WEST 50 STREET,NW,10019,C6-4,40.761816,-73.986606,03/18/2016,04/27/2016,Clinton,1076203,1010400029,1012700,"(40.761816, -73.986606)"
mn-05-137210,Link1.0,Live,137210,mn-05-137210,Manhattan,4,105,410 MADISON AVENUE,EAST 48 STREET,EAST 49 STREET,NW,10017,C5-3,40.756742,-73.976530,04/30/2017,05/26/2017,Midtown-Midtown South,1035437,1012840014,1009400,"(40.756742, -73.97653)"
bk-02-126506,Link1.0,Live,126506,bk-02-126506,Brooklyn,33,302,339 LIVINGSTON STREET,FLATBUSH AVENUE,NEVINS STREET,NW,11217,C6-4,40.687649,-73.980424,11/13/2016,07/26/2017,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3000483,3001620001,3003700,"(40.687649, -73.980424)"
bx-02-160005,Link5G_NonAd,Live,,,Bronx,17,202,576 PROSPECT AVENUE,FOX STREET,SOUTHERN BOULEVARD,SE,10455,C1-4,40.812943,-73.904111,02/12/2024,05/03/2024,Longwood,,2026830108,,"(40.8129428, -73.9041112)"
mn-08-120980,Link1.0,Live,120980,mn-08-120980,Manhattan,4,108,1126 3 AVENUE,EAST 66 STREET,EAST 65 STREET,SW,10065,C1-9,40.765880,-73.963583,03/19/2016,04/22/2016,Upper East Side-Carnegie Hill,1042435,1014000040,1012000,"(40.76588, -73.963583)"
mn-12-131054,Link1.0,Live,131054,LINK-014400,Manhattan,10,112,151 NAGLE AVENUE,THAYER STREET,ARDEN STREET,MIDBLOCK,10040,C1-4,40.861094,-73.925852,02/07/2022,05/03/2022,Washington Heights North,1082762,1021730029,1028300,"(40.861094, -73.925852)"
mn-06-134374,Link1.0,Live,134374,mn-06-134374,Manhattan,2,106,479 2 AVENUE,EAST 27 STREET,EAST 26 STREET,NW,10016,C1-8A,40.740369,-73.979252,09/26/2017,11/15/2017,Murray Hill-Kips Bay,1019855,1009070025,1006600,"(40.740369, -73.979252)"
mn-11-132877,Link1.0,Live,132877,mn-11-132877,Manhattan,8,111,210 EAST 106 STREET,3 AVENUE,2 AVENUE,SE,10029,C1-5,40.791282,-73.944218,03/02/2016,03/22/2016,East Harlem South,1052429,1016550045,1017000,"(40.791282, -73.944218)"
mn-10-119896,Link1.0,Live,119896,mn-10-119896,Manhattan,9,110,2711 FREDERICK DOUGLASS BOULEVARD,WEST 144 STREET,WEST 145 STREET,NW,10030,C1-4,40.822308,-73.942445,11/17/2016,12/16/2016,Central Harlem North-Polo Grounds,1060788,1020447501,1025900,"(40.822308, -73.942445)"
mn-05-122627,Link1.0,Live,122627,mn-05-122627,Manhattan,3,105,932 8 AVENUE,WEST 55 STREET,WEST 56 STREET,NE,10019,C6-4,40.765522,-73.983593,03/18/2016,04/07/2016,Midtown-Midtown South,1024868,1010270002,1013700,"(40.765522, -73.983593)"
qu-06-124227,Link1.0,Live,124227,qu-06-124227,Queens,29,406,107-02 71 AVENUE,AUSTIN STREET,QUEENS BOULEVARD,NE,11375,C4-4A,40.720245,-73.844644,02/25/2017,03/09/2017,Forest Hills,4078001,4032560035,4073700,"(40.720245, -73.844644)"
mn-08-121004,Link1.0,Live,121004,mn-08-121004,Manhattan,4,108,183 EAST 78 STREET,3 AVENUE,LEXINGTON AVENUE,NW,10075,C1-9,40.773727,-73.957965,03/02/2016,03/30/2016,Upper East Side-Carnegie Hill,1043248,1014130033,1014000,"(40.773727, -73.957965)"
qu-01-142694,Link1.0,Live,142694,qu-01-142694,Queens,22,401,21-34 BROADWAY,23 STREET,21 STREET,SW,11106,C1-4,40.764538,-73.930599,03/25/2017,05/18/2017,Astoria,4006399,4005550029,4004500,"(40.764538, -73.930599)"
mn-03-123419,Link5G_Ad,Live,123419,10100,Manhattan,2,103,191 AVENUE A,EAST 12TH STREET,EAST 11TH STREET,SW,10009,C2-5,40.729012,-73.981490,02/02/2023,05/25/2023,East Village,1077672,1004390028,,"(40.729012, -73.98149)"
mn-09-111931,Link1.0,Live,111931,mn-09-111931,Manhattan,7,109,3670 BROADWAY,WEST 152 STREET,WEST 151 STREET,SE,10031,C1-4,40.830586,-73.947195,07/10/2016,07/20/2016,Hamilton Heights,1062208,1020830063,1023700,"(40.830586, -73.947195)"
mn-04-122299,Link1.0,Live,122299,mn-04-122299,Manhattan,3,104,80 8 AVENUE,WEST 14 STREET,WEST 15 STREET,NE,10011,C6-2A,40.739846,-74.002305,03/29/2016,04/07/2016,Hudson Yards-Chelsea-Flatiron-Union Square,1013711,1007640001,1008100,"(40.739846, -74.002305)"
mn-06-133525,Link1.0,Live,133525,mn-06-133525,Manhattan,2,106,220 3 AVENUE,EAST 18 STREET,EAST 19 STREET,SW,10003,C1-9A,40.736332,-73.985123,04/16/2016,04/27/2016,Gramercy,1088759,1008747504,1005000,"(40.736332, -73.985123)"
mn-09-135244,Link1.0,Live,135244,mn-09-135244,Manhattan,7,109,1800 AMSTERDAM AVENUE,WEST 150 STREET,WEST 149 STREET,NW,10031,C1-4,40.827925,-73.945775,10/19/2017,01/12/2018,Hamilton Heights,1062098,1020810029,1023300,"(40.827925, -73.945775)"
bx-02-145542,Link1.0,Live,145542,LINK-011143,Bronx,17,202,402 HUNTS POINT AVENUE,EAST BAY AVENUE,DRAKE PARK SOUTH,MIDBLOCK,10474,M1-2,40.809714,-73.880704,12/10/2021,05/06/2022,Hunts Point,2114610,2027720270,2011700,"(40.809714, -73.880704)"
mn-08-121767,Link1.0,Live,121767,mn-08-121767,Manhattan,5,108,300 EAST 61 STREET,2 AVENUE,ED KOCH QUEENSBORO BRIDGE EXIT,SE,10065,C2-8,40.761748,-73.963311,11/11/2017,02/16/2018,Lenox Hill-Roosevelt Island,1044218,1014350049,1011000,"(40.761748, -73.963311)"
bk-05-145937,Link1.0,Live,145937,LINK-021928,Brooklyn,37,305,2598 FULTON STREET,SHEFFIELD AVENUE,GEORGIA AVENUE,SW,11207,C4-1,40.676994,-73.898358,09/23/2017,01/22/2018,East New York,3000000,3036680008,3119800,"(40.676994, -73.898358)"
qu-03-136703,Link1.0,Live,136703,qu-03-136703,Queens,21,403,92-03 ROOSEVELT AVENUE,92 STREET,93 STREET,NE,11372,C2-4,40.748708,-73.874393,08/31/2017,10/11/2017,Jackson Heights,4036462,4014800044,4027500,"(40.748708, -73.874393)"
mn-07-121257,Link1.0,Live,121257,mn-07-121257,Manhattan,6,107,101 WEST 86 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,NW,10024,C1-5,40.786654,-73.972311,02/21/2018,11/16/2020,Upper West Side,1032201,1012170035,1017300,"(40.786654, -73.972311)"
mn-07-121157,Link1.0,Live,121157,mn-07-121157,Manhattan,6,107,300 COLUMBUS AVENUE,WEST 74 STREET,WEST 75 STREET,NW,10023,C1-8A,40.778889,-73.977853,02/09/2018,02/07/2019,Upper West Side,1030070,1011460029,1016100,"(40.778889, -73.977853)"
mn-05-121950,Link1.0,Live,121950,mn-05-121950,Manhattan,4,105,32 EAST 50 STREET,MADISON AVENUE,PARK AVENUE,SE,10022,C5-3,40.757734,-73.975434,02/11/2017,05/09/2017,Midtown-Midtown South,1035455,1012850021,1010200,"(40.757734, -73.975434)"
bk-03-145749,Link1.0,Live,145749,LINK-018119,Brooklyn,36,303,1628 FULTON STREET,BAINBRIDGE STREET,LEWIS AVENUE,SW,11213,C2-4,40.679561,-73.935500,02/27/2017,03/20/2017,Crown Heights North,3000000,3016990041,3027100,"(40.679561, -73.9355)"
qu-02-125020,Link5G_Ad,Live,125020,15190,Queens,26,402,47-50 VAN DAM STREET,Van Dam Street,31st Pl,N,11101,M1-4,40.741120,-73.934530,11/15/2022,09/30/2024,Hunters Point-Sunnyside-West Maspeth,4003536,4002800001,,"(40.74112, -73.93453)"
qu-12-118455,Link5G_Ad,Live,118455,LINK-014515,Queens,28,412,146-64 LIBERTY AVENUE,Sutphin Boulevard,Waltham Street,,11435,C4-5X,40.695963,-73.804551,02/09/2023,04/25/2023,Jamaica,4000000,4100300025,4020800,"(40.695963, -73.804551)"
mn-09-131062,Link1.0,Live,131062,mn-09-131062,Manhattan,7,109,1881 AMSTERDAM AVENUE,WEST 153 STREET,WEST 154 STREET,NE,10032,C2-4,40.830336,-73.943756,07/19/2016,08/08/2016,Hamilton Heights,1061650,1020680001,1023501,"(40.830336, -73.943756)"
mn-12-120469,Link1.0,Live,120469,mn-12-120469,Manhattan,7,112,2048 AMSTERDAM AVENUE,WEST 162 STREET,WEST 161 STREET,SW,10032,C1-4,40.835729,-73.940075,10/22/2016,12/02/2016,Washington Heights South,1062868,1021200033,1024500,"(40.835729, -73.940075)"
bx-02-157804,Link5G_Ad,Live,157804,,Bronx,17,202,1390 RANDALL AVENUE,HALLECK STREET,DRAKE STREET,SW,10474,M1-2,40.812779,-73.881469,06/30/2022,12/09/2022,Hunts Point,2097267,2027690193,,"(40.812779, -73.881469)"
qu-02-137493,Link1.0,Live,137493,8060,Queens,26,402,51-05 SKILLMAN AVENUE,51st Street,52nd Street,MIDBLOCK,11377,C1-3,40.746058,-73.913056,10/29/2022,06/09/2023,Hunters Point-Sunnyside-West Maspeth,4000887,4001280072,,"(40.746058, -73.913056)"
si-02-125463,Link1.0,Live,125463,si-02-125463,Staten Island,50,502,404 NEW DORP LANE,HYLAN BOULEVARD,MILLER FIELD BOUNDARY,SW,10306,C4-1,40.570312,-74.109657,01/31/2017,02/22/2017,New Dorp-Midland Beach,5055368,5039600002,5012804,"(40.570312, -74.109657)"
bx-07-145924,Link1.0,Live,145924,LINK-005578,Bronx,14,207,82 WEST KINGSBRIDGE ROAD,UNIVERSITY AVENUE,AQUEDUCT AVENUE,SE,10468,C1-3,40.868100,-73.900706,09/16/2017,01/22/2018,Kingsbridge Heights,2014676,2032150024,2026500,"(40.8681, -73.900706)"
mn-11-107836,Link1.0,Live,107836,mn-11-107836,Manhattan,5,111,1786 3 AVENUE,EAST 99 STREET,EAST 100 STREET,NW,10029,C1-5,40.787309,-73.947944,04/16/2016,04/27/2016,East Harlem South,1051769,1016270034,1016600,"(40.787309, -73.947944)"
mn-06-138795,Link1.0,Live,138795,mn-06-138795,Manhattan,2,106,416 2 AVENUE,EAST 24 STREET,EAST 23 STREET,SE,10010,C1-9,40.738384,-73.980396,09/28/2017,01/03/2018,Gramercy,1084709,1009290001,1006400,"(40.738384, -73.980396)"
bx-01-146060,Link1.0,Live,146060,LINK-020548,Bronx,8,201,530 EAST 138 STREET,BROOK AVENUE,ST ANNS AVENUE,MIDBLOCK,10454,C1-4,40.807108,-73.918343,02/12/2018,07/11/2018,Mott Haven-Port Morris,2000040,2022650035,2002500,"(40.807108, -73.918343)"
qu-01-145947,Link1.0,Live,145947,LINK-021330,Queens,22,401,34-24 30 AVENUE,35 STREET,34 STREET,SE,11103,C4-2A,40.765402,-73.918360,09/16/2017,10/25/2017,Astoria,4009091,4006260049,4006300,"(40.765402, -73.91836)"
mn-07-133635,Link1.0,Live,133635,mn-07-133635,Manhattan,6,107,2495 BROADWAY,WEST 93 STREET,WEST 92 STREET,SW,10025,C4-6A,40.792696,-73.973438,11/22/2017,03/15/2018,Upper West Side,1087656,1012400052,1017900,"(40.792696, -73.973438)"
mn-05-133511,Link1.0,Live,133511,mn-05-133511,Manhattan,4,105,208 WEST 49 STREET,BROADWAY,7 AVENUE,NW,10019,C6-7T,40.760632,-73.984283,04/30/2016,07/19/2016,Midtown-Midtown South,1024779,1010200038,1012500,"(40.760632, -73.984283)"
mn-06-103457,Link1.0,Live,103457,mn-06-103457,Manhattan,2,106,200 EAST 25 STREET,3 AVENUE,2 AVENUE,SE,10010,C2-8,40.739975,-73.982035,07/02/2016,07/13/2016,Murray Hill-Kips Bay,1019808,1009050056,1006600,"(40.739975, -73.982035)"
bx-01-145852,Link1.0,Live,145852,LINK-018228,Bronx,8,201,141 LINCOLN AVENUE,EAST 134 STREET,EAST 135 STREET,MIDBLOCK,10454,M1-2/R6A,40.808544,-73.929074,06/10/2017,10/26/2017,Mott Haven-Port Morris,2091107,2023170043,2001900,"(40.808544, -73.929074)"
mn-04-122265,Link1.0,Live,122265,mn-04-122265,Manhattan,3,104,571 6 AVENUE,WEST 16 STREET,WEST 15 STREET,SW,10011,C6-2A,40.738640,-73.996057,02/04/2018,04/04/2018,Hudson Yards-Chelsea-Flatiron-Union Square,1014560,1007910036,1008100,"(40.73864, -73.996057)"
mn-06-133818,Link1.0,Live,133818,mn-06-133818,Manhattan,4,106,241 MADISON AVENUE,EAST 38 STREET,EAST 37 STREET,SE,10016,R10,40.749982,-73.981236,05/26/2017,07/12/2017,Murray Hill-Kips Bay,1017220,1008670055,1008200,"(40.749982, -73.981236)"
bk-14-126509,Link1.0,Live,126509,bk-14-126509,Brooklyn,45,314,1591 FLATBUSH AVENUE,EAST 31 STREET,FLATBUSH AVENUE,NE,11210,C4-4A,40.632135,-73.946781,03/04/2018,06/18/2018,Flatbush,3205905,3075580027,3078600,"(40.632135, -73.946781)"
qu-07-138935,Link1.0,Live,138935,35019,Queens,20,407,144-76 NORTHERN BOULEVARD,146th Street,147th Street,MIDBLOCK,11354,C1-2,40.764906,-73.820477,09/17/2022,11/10/2022,Murray Hill,4622953,4050140032,,"(40.764906, -73.820477)"
mn-05-137211,Link1.0,Live,137211,mn-05-137211,Manhattan,2,105,240 Park Ave S,PARK AVENUE SOUTH,BROADWAY,MIDBLOCK,10003,C6-4A,40.737970,-73.988584,11/18/2017,02/07/2018,Hudson Yards-Chelsea-Flatiron-Union Square,1087725,1008487505,1005200,"(40.73797, -73.988584)"
qu-04-125322,Link1.0,Live,125322,qu-04-125322,Queens,21,404,90-02 ROOSEVELT AVENUE,CASE STREET,ELMHURST STREET,MIDBLOCK,11372,R6,40.748350,-73.876523,07/22/2017,09/08/2017,Elmhurst,4038784,4015510001,4027100,"(40.74835, -73.876523)"
mn-08-120942,Link1.0,Live,120942,mn-08-120942,Manhattan,4,108,21 EAST 66 STREET,MADISON AVENUE,5 AVENUE,NW,10065,C5-1,40.768093,-73.968364,01/29/2017,04/17/2017,Upper East Side-Carnegie Hill,1041167,1013817504,1012200,"(40.768093, -73.968364)"
mn-02-123497,Link1.0,Live,123497,mn-02-123497,Manhattan,3,102,41 HORATIO STREET,HUDSON STREET,WEST 4 STREET,NE,10014,C1-6,40.738798,-74.005285,03/04/2018,11/09/2018,West Village,1011688,1006270025,1007700,"(40.738798, -74.005285)"
qu-04-136456,Link1.0,Live,136456,qu-04-136456,Queens,25,404,81-02 ROOSEVELT AVENUE,81 STREET,82 STREET,SW,11372,C1-3,40.747490,-73.884690,08/31/2017,10/04/2017,Elmhurst,4036860,4014920001,4026901,"(40.74749, -73.88469)"
mn-06-137072,Link1.0,Live,137072,mn-06-137072,Manhattan,4,106,201 EAST 42 STREET,3 AVENUE,2 AVENUE,NE,10017,C5-3,40.750717,-73.974088,02/07/2016,03/09/2016,Turtle Bay-East Midtown,1037549,1013160001,1008800,"(40.750717, -73.974088)"
mn-06-121540,Link1.0,Live,121540,mn-06-121540,Manhattan,4,106,866 2 AVENUE,EAST 46 STREET,EAST 47 STREET,NE,10017,C1-9,40.752476,-73.970116,05/19/2018,02/01/2019,Turtle Bay-East Midtown,1038895,1013390001,1009000,"(40.752476, -73.970116)"
qu-12-157659,Link1.0,Live,157659,,Queens,27,412,99-20 189 STREET,189TH STREET,188TH STREET,NW,11423,M1-1,40.708248,-73.768953,08/04/2022,09/22/2022,St. Albans,4220604,4103530110,,"(40.708248, -73.768953)"
bx-07-119793,Link1.0,Live,119793,bx-07-119793,Bronx,15,207,385 EAST FORDHAM ROAD,DECATUR AVENUE,MARION AVENUE,NW,10458,C4-4,40.861993,-73.891830,08/27/2016,06/21/2017,Bedford Park-Fordham North,2016327,2032750065,2039901,"(40.861993, -73.89183)"
bk-09-127716,Link1.0,Live,127716,bk-09-127716,Brooklyn,35,309,900 NOSTRAND AVENUE,CARROLL STREET,PRESIDENT STREET,NW,11225,C1-3,40.667346,-73.950809,03/11/2017,04/28/2017,Crown Heights South,3348092,3012890025,3032100,"(40.667346, -73.950809)"
mn-06-121490,Link1.0,Live,121490,mn-06-121490,Manhattan,2,106,201 EAST 23 STREET,3 AVENUE,2 AVENUE,NE,10010,C2-8A,40.738827,-73.982886,10/28/2017,04/24/2018,Gramercy,1082135,1009040001,1006400,"(40.738827, -73.982886)"
bk-01-108703,Link1.0,Live,108703,bk-01-108703,Brooklyn,34,301,213 UNION AVENUE,SOUTH 5 STREET,SOUTH 4 STREET,SW,11211,C8-2,40.706822,-73.950529,12/19/2017,02/14/2018,North Side-South Side,3063527,3024520019,3052700,"(40.706822, -73.950529)"
mn-07-121229,Link1.0,Live,121229,mn-07-121229,Manhattan,6,107,2220 BROADWAY,WEST 79 STREET,WEST 80 STREET,NE,10024,C4-6A,40.783920,-73.979708,09/08/2016,09/30/2016,Upper West Side,1032624,1012270013,1016700,"(40.78392, -73.979708)"
mn-05-122148,Link1.0,Live,122148,mn-05-122148,Manhattan,4,105,719 7 AVENUE,WEST 48 STREET,WEST 47 STREET,SE,10036,C6-7T,40.759713,-73.984131,02/18/2017,06/30/2017,Midtown-Midtown South,1000000,1010000061,1012500,"(40.759713, -73.984131)"
mn-03-108589,Link1.0,Live,108589,mn-03-108589,Manhattan,1,103,169 BOWERY,DELANCEY STREET,BROOME STREET,SE,10002,C6-1,40.719907,-73.994066,07/12/2016,08/19/2016,Chinatown,1005660,1004240010,1001800,"(40.719907, -73.994066)"
mn-04-123541,Link1.0,Live,123541,mn-04-123541,Manhattan,3,104,265 WEST 14 STREET,8 AVENUE,7 AVENUE,NE,10011,C6-2A,40.739719,-74.002217,03/11/2016,04/07/2016,Hudson Yards-Chelsea-Flatiron-Union Square,1013711,1007640001,1008100,"(40.739719, -74.002217)"
qu-03-136366,Link1.0,Live,136366,qu-03-136366,Queens,21,403,95-31 ROOSEVELT AVENUE,WARREN STREET,95 STREET,NW,11372,C2-4,40.749112,-73.870624,07/22/2017,09/08/2017,Jackson Heights,4036618,4014830044,4027300,"(40.749112, -73.870624)"
mn-07-140140,Link1.0,Live,140140,mn-07-140140,Manhattan,6,107,2029 BROADWAY,WEST 69 STREET,WEST 70 STREET,NW,10023,C4-6A,40.776626,-73.982323,04/04/2018,11/17/2020,Lincoln Square,1076231,1011417502,1015300,"(40.776626, -73.982323)"
qu-12-141535,Link1.0,Live,141535,qu-12-141535,Queens,24,412,147-05 JAMAICA AVENUE,SUTPHIN BOULEVARD,147 PLACE,NE,11435,C4-4A,40.701827,-73.807661,08/27/2016,09/23/2016,Jamaica,4206783,4096770001,4024000,"(40.701827, -73.807661)"
qu-12-124602,Link1.0,Live,124602,LINK-011681,Queens,27,412,89-11 MERRICK BOULEVARD,164 ST,165 ST,SE,11432,C4-5X,40.707945,-73.795266,03/29/2023,07/13/2023,Jamaica,4209635,4097940048,4046000,"(40.707945, -73.795266)"
bk-02-145811,Link1.0,Live,145811,LINK-018057,Brooklyn,33,302,322 LIVINGSTON STREET,NEVINS STREET,HANOVER PLACE,SW,11217,C6-4,40.688039,-73.981872,03/31/2017,04/28/2017,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3000511,3001660032,3003700,"(40.688039, -73.981872)"
mn-10-142814,Link1.0,Live,142814,mn-10-142814,Manhattan,9,110,2293 FREDERICK DOUGLASS BOULEVARD,WEST 123 STREET,WEST 124 STREET,NW,10027,C4-4D,40.808996,-73.952149,10/14/2016,11/02/2016,Central Harlem South,1059275,1019500029,1025700,"(40.808996, -73.952149)"
mn-10-146057,Link1.0,Live,146057,LINK-019837,Manhattan,9,110,2620 FREDERICK DOUGLASS BOULEVARD,WEST 140 STREET,WEST 139 STREET,SE,10030,C1-4,40.819549,-73.944183,02/03/2018,05/02/2018,Central Harlem North-Polo Grounds,1060388,1020250061,1023000,"(40.819549, -73.944183)"
mn-07-100260,Link1.0,Live,100260,mn-07-100260,Manhattan,6,107,214 WEST 96 STREET,BROADWAY,AMSTERDAM AVENUE,SE,10025,C4-6A,40.794462,-73.971573,11/04/2016,11/23/2016,Upper West Side,1033707,1012430042,1018300,"(40.794462, -73.971573)"
qu-01-125071,Link1.0,Live,125071,qu-01-125071,Queens,26,401,48-12 BROADWAY,NEWTON ROAD,48 STREET,SW,11103,C1-4,40.755764,-73.912336,04/22/2017,05/18/2017,Astoria,4013642,4007340038,4016100,"(40.755764, -73.912336)"
bx-08-145850,Link1.0,Live,145850,LINK-018402,Bronx,14,208,119 WEST KINGSBRIDGE ROAD,UNIVERSITY AVENUE,WEBB AVENUE,NE,10468,C1-3,40.868698,-73.902101,06/10/2017,08/01/2017,Van Cortlandt Village,2015261,2032480057,2026701,"(40.868698, -73.902101)"
bx-01-146074,Link1.0,Live,146074,LINK-020569,Bronx,17,201,680 MELROSE AVENUE,EAST 154 STREET,EAST 153 STREET,SW,10455,C1-4,40.819394,-73.916163,03/04/2018,05/02/2018,Melrose South-Mott Haven North,2001366,2023750006,2006700,"(40.819394, -73.916163)"
qu-04-137921,Link1.0,Live,137921,qu-04-137921,Queens,25,404,75-20 ROOSEVELT AVENUE,76 STREET,75 STREET,SW,11372,C2-3,40.746966,-73.889705,07/08/2017,08/30/2017,Elmhurst,4036735,4014860031,4026700,"(40.746966, -73.889705)"
mn-07-121306,Link1.0,Live,121306,mn-07-121306,Manhattan,6,107,2315 BROADWAY,WEST 84 STREET,WEST 83 STREET,SW,10024,C4-6A,40.787028,-73.977832,11/02/2016,12/14/2016,Upper West Side,1032791,1012310055,1017100,"(40.787028, -73.977832)"
bx-05-153077,Link5G_Ad,Live,153077,,Bronx,15,205,2110 GRAND CONCOURSE,GRAND CONCOURSE,ANTHONY AVENUE,SE,10457,C1-4,40.854469,-73.901538,07/26/2022,10/18/2022,Mount Hope,,2031560108,,"(40.854469, -73.901538)"
qu-01-146088,Link1.0,Live,146088,LINK-021014,Queens,22,401,25-35 ASTORIA BOULEVARD,27 STREET,CRESCENT STREET,NW,11102,C1-3,40.771055,-73.921496,05/19/2018,06/28/2018,Old Astoria,4018497,4008610001,4006900,"(40.771055, -73.921496)"
bx-05-116218,Link1.0,Live,116218,bx-05-116218,Bronx,15,205,2461 WEBSTER AVENUE,EAST 188 STREET,EAST 189 STREET,MIDBLOCK,10458,C2-4,40.860215,-73.893059,05/12/2016,05/25/2016,Bedford Park-Fordham North,2011078,2030260059,2039902,"(40.860215, -73.893059)"
mn-06-121746,Link1.0,Live,121746,mn-06-121746,Manhattan,4,106,988 3 AVENUE,EAST 58 STREET,BEND,SW,10022,C5-2,40.761484,-73.966779,11/18/2017,04/11/2018,Turtle Bay-East Midtown,1086160,1013137501,1011203,"(40.761484, -73.966779)"
bk-06-145893,Link1.0,Live,145893,LINK-021511,Brooklyn,39,306,321 5 AVENUE,5 AVENUE,6 AVENUE,SE,11215,C1-4,40.672679,-73.983161,07/27/2017,09/11/2017,Park Slope-Gowanus,3021066,3009820009,3013500,"(40.672679, -73.983161)"
mn-07-122843,Link1.0,Live,122843,mn-07-122843,Manhattan,3,107,8 WEST 61 STREET,BROADWAY,CENTRAL PARK WEST,SE,10023,C6-6,40.769566,-73.981841,04/30/2016,09/30/2016,Lincoln Square,1027191,1011137502,1014500,"(40.769566, -73.981841)"
mn-02-123547,Link1.0,Live,123547,mn-02-123547,Manhattan,3,102,120 WEST 14 STREET,6 AVENUE,7 AVENUE,SW,10011,C6-2A,40.737805,-73.998106,09/17/2016,12/09/2016,West Village,1010639,1006090023,1007100,"(40.737805, -73.998106)"
mn-07-120610,Link1.0,Live,120610,mn-07-120610,Manhattan,6,107,718 AMSTERDAM AVENUE,WEST 95 STREET,WEST 94 STREET,SW,10025,C2-8,40.793310,-73.971045,08/05/2016,10/10/2016,Upper West Side,1033681,1012420036,1018300,"(40.79331, -73.971045)"
mn-03-123802,Link1.0,Live,123802,mn-03-123802,Manhattan,2,103,237 1 AVENUE,EAST 14 STREET,EAST 13 STREET,SW,10003,C1-7A,40.731219,-73.982827,08/12/2017,10/06/2017,East Village,1006522,1004550033,1004000,"(40.731219, -73.982827)"
mn-05-121964,Link1.0,Live,121964,mn-05-121964,Manhattan,4,105,51 EAST 55 STREET,MADISON AVENUE,PARK AVENUE,NE,10022,C5-3,40.760963,-73.973101,03/18/2017,05/10/2017,Midtown-Midtown South,1035775,1012910051,1010200,"(40.760963, -73.973101)"
qu-09-145794,Link1.0,Live,145794,LINK-006987,Queens,29,409,82-37 KEW GARDENS ROAD,83 AVENUE,MOWBRAY DRIVE,NE,11415,C4-4,40.711072,-73.828160,03/11/2017,04/05/2017,Kew Gardens,4080168,4033600001,4021600,"(40.711072, -73.82816)"
mn-06-123261,Link1.0,Live,123261,mn-06-123261,Manhattan,2,106,133 EAST 14 STREET,3 AVENUE,IRVING PLACE,NW,10003,C1-9A,40.733470,-73.987384,07/02/2016,07/19/2016,Gramercy,1084936,1008700024,1005000,"(40.73347, -73.987384)"
qu-03-160028,Link5G_NonAd,Live,,,Queens,22,403,77-19 25 AVENUE,25TH AVENUE,24TH AVENUE,W,11370,R4,40.762780,-73.890520,04/09/2024,09/27/2024,Jackson Heights,4022778,4010410034,,"(40.76278, -73.89052)"
qu-06-124138,Link5G_Ad,Live,124138,SC90560,Queens,29,406,103-19 QUEENS BOULEVARD,Queens Boulevard,Yellowstone Boulevard,NE,11375,C1-2,40.724600,-73.849460,01/27/2025,04/10/2025,Forest Hills,4051281,4021380001,,"(40.7246, -73.84946)"
mn-11-146077,Link1.0,Live,146077,LINK-018375,Manhattan,8,111,1928 3 AVENUE,EAST 106 STREET,EAST 107 STREET,MIDBLOCK,10029,C1-5,40.791898,-73.944596,02/04/2018,05/17/2018,East Harlem South,1052036,1016340035,1017200,"(40.791898, -73.944596)"
mn-09-111128,Link1.0,Live,111128,mn-09-111128,Manhattan,7,109,3407 BROADWAY,WEST 138 STREET,WEST 139 STREET,NW,10031,C1-4,40.822319,-73.953676,06/17/2016,07/14/2016,Hamilton Heights,1062299,1020870031,1022500,"(40.822319, -73.953676)"
bk-03-145843,Link1.0,Live,145843,LINK-019365,Brooklyn,36,303,545 NOSTRAND AVENUE,HERKIMER PLACE,ATLANTIC AVENUE,NE,11216,C4-5D,40.678818,-73.949579,05/06/2017,05/31/2017,Crown Heights North,3329718,3018670005,3024700,"(40.678818, -73.949579)"
