Site ID,Planned Kiosk Type,Installation Status,PPT ID,Legacy ID,Borough,Council District,Community Board,Street Address,Cross Street 1,Cross Street 2,IxN Corner,Postcode,Zoning,Latitude,Longitude,Installation Complete,Activation Complete,Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Location
bk-05-145943,Link1.0,Live,145943,LINK-021919,Brooklyn,37,305,241 CRESCENT STREET,FULTON STREET,ATLANTIC AVENUE,SE,11208,C1-2,40.683506,-73.872079,09/29/2017,11/21/2017,Cypress Hills-City Line,3092798,3041470030,3118400,"(40.683506, -73.872079)"
mn-04-139167,Link1.0,Live,139167,mn-04-139167,Manhattan,3,104,259 WEST 24 STREET,8 AVENUE,7 AVENUE,NE,10001,C6-2A,40.745924,-73.997757,03/16/2016,04/07/2016,Hudson Yards-Chelsea-Flatiron-Union Square,1014167,1007740001,1009100,"(40.745924, -73.99775700000001)"
qu-04-145788,Link1.0,Live,145788,LINK-018037,Queens,25,404,90-20 QUEENS BOULEVARD,WOODHAVEN BOULEVARD,57 AVENUE,SW,11373,C1-2,40.733342,-73.870838,03/11/2017,04/10/2017,Elmhurst,4457337,4028570074,4047500,"(40.733342, -73.870838)"
mn-01-137026,Link1.0,Live,137026,mn-01-137026,Manhattan,1,101,195 HUDSON STREET,DESBROSSES STREET,VESTRY STREET,SW,10013,C6-2A,40.723118,-74.008139,08/05/2017,11/15/2017,SoHo-TriBeCa-Civic Center-Little Italy,1002857,1002227502,1003900,"(40.723118, -74.008139)"
mn-12-120650,Link1.0,Live,120650,mn-12-120650,Manhattan,10,112,1422 ST. NICHOLAS AVENUE,WEST 181 STREET,WEST 182 STREET,NE,10033,C4-4,40.849423,-73.933529,12/05/2017,03/12/2018,Washington Heights North,1063640,1021540001,1026900,"(40.849423, -73.933529)"
qu-01-145952,Link1.0,Live,145952,LINK-019890,Queens,22,401,36-20 BROADWAY,38 STREET,37 STREET,SW,11106,C4-2A,40.759723,-73.920763,09/30/2017,01/12/2018,Astoria,4009741,4006470041,4005900,"(40.759723, -73.920763)"
mn-06-134921,Link1.0,Live,134921,mn-06-134921,Manhattan,2,106,341 3 AVENUE,EAST 25 STREET,EAST 26 STREET,NE,10010,C2-8,40.740218,-73.981988,03/18/2018,05/09/2018,Murray Hill-Kips Bay,1019821,1009060001,1006600,"(40.740218, -73.981988)"
mn-06-139576,Link1.0,Live,139576,mn-06-139576,Manhattan,4,106,850 3 AVENUE,3 AVENUE,LEXINGTON AVENUE,NW,10022,C6-6,40.756577,-73.970470,05/19/2018,02/04/2019,Turtle Bay-East Midtown,1036462,1013060033,1010000,"(40.756577, -73.97047)"
mn-07-133637,Link1.0,Live,133637,mn-07-133637,Manhattan,6,107,2641 BROADWAY,WEST 100 STREET,WEST 101 STREET,NW,10025,C1-5,40.797394,-73.970011,02/24/2018,11/24/2020,Upper West Side,1056479,1018720010,1018700,"(40.797394, -73.970011)"
si-02-125467,Link1.0,Live,125467,si-02-125467,Staten Island,50,502,2154 HYLAN BOULEVARD,MIDLAND AVENUE,ZWICKY AVENUE,SE,10306,C2-1,40.577771,-74.102310,01/31/2017,02/22/2017,New Dorp-Midland Beach,5053558,5036910011,5011202,"(40.577771, -74.10231)"
mn-08-120996,Link1.0,Live,120996,mn-08-120996,Manhattan,4,108,1349 3 AVENUE,EAST 77 STREET,EAST 78 STREET,NE,10075,C1-9,40.773006,-73.958069,07/08/2016,07/19/2016,Lenox Hill-Roosevelt Island,1044096,1014320001,1013400,"(40.773006, -73.958069)"
bk-01-146022,Link1.0,Live,146022,LINK-021136,Brooklyn,34,301,2 DEVOE STREET,UNION AVENUE,LORIMER STREET,SE,11211,C2-4,40.713080,-73.951285,12/02/2017,02/14/2018,North Side-South Side,3068930,3027670009,3051300,"(40.71308, -73.951285)"
bx-07-119762,Link1.0,Live,119762,LINK-013243,Bronx,14,207,2734 JEROME AVENUE,E 196TH STREET,E KINGSBRIDGE ROAD,S,10468,C4-4,40.869080,-73.896000,11/05/2022,12/21/2022,Kingsbridge Heights,2098782,2033170030,2026500,"(40.86908, -73.896)"
bk-13-145054,Link5G_Ad,Live,145054,,Brooklyn,48,313,2928 WEST 5 STREET,NEPTUNE AVENUE,WEST BRIGHTON AVENUE,MIDBLOCK,11224,C1-2,40.578620,-73.972310,06/14/2024,08/22/2024,West Brighton,3257102,3072730025,3035400,"(40.57862, -73.97231)"
mn-06-138042,Link1.0,Live,138042,mn-06-138042,Manhattan,2,106,392 2 AVENUE,EAST 22 STREET,EAST 23 STREET,SE,10010,C1-9A,40.737627,-73.980968,03/11/2017,07/19/2017,Gramercy,1088559,1009287504,1006400,"(40.737627, -73.980968)"
bx-01-145916,Link1.0,Live,145916,LINK-018218,Bronx,8,201,197 LINCOLN AVENUE,EAST 137 STREET,3 AVENUE,NW,10451,M1-4/R7A,40.810159,-73.927886,08/31/2017,02/22/2018,Mott Haven-Port Morris,2000780,2023180022,2005100,"(40.810159, -73.927886)"
qu-14-123776,Link5G_Ad,Live,,,Queens,31,414,2-29 BEACH 20TH STREET,Beach 20th Street,Fernside Place,,11691,C1-2,40.597217,-73.754459,03/12/2025,07/30/2025,Far Rockaway-Bayswater,4301264,4157800075,4099801,"(40.5972167, -73.7544593)"
qu-02-125075,Link1.0,Live,125075,qu-02-125075,Queens,26,402,51-30 NORTHERN BOULEVARD,54 STREET,WOODSIDE AVENUE,MIDBLOCK,11377,M1-1,40.753139,-73.907454,04/28/2018,06/20/2018,Woodside,4437089,4011920041,4025500,"(40.753139, -73.907454)"
mn-06-138030,Link1.0,Live,138030,mn-06-138030,Manhattan,4,106,203 EAST 39 STREET,3 AVENUE,QUEENS MIDTOWN TUNNEL EXIT,NE,10016,C5-3,40.748733,-73.975363,05/14/2016,07/01/2016,Turtle Bay-East Midtown,1082153,1009200012,1008800,"(40.748733, -73.975363)"
bk-09-145751,Link1.0,Live,145751,LINK-018080,Brooklyn,35,309,897 FRANKLIN AVENUE,PRESIDENT STREET,CARROLL STREET,NE,11225,C1-3,40.668156,-73.958801,02/27/2017,04/20/2017,Crown Heights South,3033446,3012800001,3032500,"(40.668156, -73.958801)"
qu-07-124348,Link1.0,Live,124348,LINK-013153,Queens,20,407,149-06 NORTHERN BOULEVARD,Northern Boulevard,38th Avenue,SE,11354,C2-2,40.765108,-73.817129,10/22/2022,01/11/2023,Murray Hill,4595272,4050177503,,"(40.765108, -73.817129)"
mn-06-121369,Link1.0,Live,121369,mn-06-121369,Manhattan,4,106,770 2 AVENUE,EAST 41 STREET,EAST 42 STREET,NE,10017,C5-2,40.749203,-73.972507,08/26/2017,12/04/2017,Turtle Bay-East Midtown,1038650,1013340001,1008800,"(40.749203, -73.972507)"
mn-05-122608,Link1.0,Live,122608,mn-05-122608,Manhattan,3,105,888 8 AVENUE,WEST 53 STREET,WEST 52 STREET,SE,10019,C6-4,40.763996,-73.984719,10/15/2016,11/21/2016,Midtown-Midtown South,1024825,1010240001,1013100,"(40.763996, -73.984719)"
bk-07-125836,Link1.0,Live,125836,bk-07-125836,Brooklyn,38,307,948 3 AVENUE,EAST 36 STREET,EAST 35 STREET,NW,11232,M3-1,40.655746,-74.006549,02/26/2018,05/02/2018,Sunset Park West,3010251,3006910046,3001800,"(40.655746, -74.006549)"
mn-07-134372,Link1.0,Live,134372,mn-07-134372,Manhattan,6,107,2721 BROADWAY,WEST 104 STREET,WEST 105 STREET,MIDBLOCK,10025,C1-5,40.800093,-73.968295,12/06/2017,09/19/2018,Upper West Side,1056583,1018760007,1019100,"(40.800093, -73.968295)"
mn-04-136691,Link1.0,Live,136691,mn-04-136691,Manhattan,3,104,505 8 AVENUE,WEST 35 STREET,WEST 36 STREET,NW,10018,M1-6,40.753107,-73.992947,05/26/2017,06/30/2017,Hudson Yards-Chelsea-Flatiron-Union Square,1013575,1007590037,1011100,"(40.753107, -73.992947)"
mn-09-134795,Link1.0,Live,134795,mn-09-134795,Manhattan,7,109,3599 BROADWAY,WEST 148 STREET,WEST 147 STREET,SW,10031,C1-4,40.828320,-73.949299,10/20/2017,03/13/2018,Hamilton Heights,1083034,1020940036,1023300,"(40.82832, -73.949299)"
mn-06-121502,Link1.0,Live,121502,mn-06-121502,Manhattan,2,106,489 3 AVENUE,EAST 33 STREET,EAST 34 STREET,NE,10016,C1-9,40.745116,-73.978416,02/06/2016,02/19/2016,Murray Hill-Kips Bay,1020103,1009140001,1007000,"(40.745116, -73.978416)"
mn-12-120658,Link1.0,Live,120658,mn-12-120658,Manhattan,10,112,1463 ST. NICHOLAS AVENUE,WEST 183 STREET,WEST 184 STREET,NW,10033,C1-4,40.850683,-73.932870,12/05/2017,04/18/2018,Washington Heights North,1063959,1021650069,1027100,"(40.850683, -73.93287)"
mn-07-133488,Link1.0,Live,133488,mn-07-133488,Manhattan,6,107,121 WEST 67 STREET,BROADWAY,AMSTERDAM AVENUE,NW,10023,C4-7,40.774894,-73.982571,04/16/2016,07/19/2016,Lincoln Square,1028850,1011390014,1015300,"(40.774894, -73.982571)"
qu-12-128738,Link5G_Ad,Live,128738,35090,Queens,24,412,147-14 HILLSIDE AVENUE,Sutphin Blvd,148 ST,MIDBLOCK,11435,C4-4A,40.705819,-73.809058,02/24/2023,04/28/2023,Jamaica,4207080,4096920060,4023800,"(40.705819, -73.809058)"
mn-08-121137,Link1.0,Live,121137,mn-08-121137,Manhattan,4,108,22 EAST 65 STREET,MADISON AVENUE,5 AVENUE,SW,10065,C5-1,40.767364,-73.968865,01/21/2017,04/17/2017,Upper East Side-Carnegie Hill,1041093,1013790059,1012200,"(40.767364, -73.968865)"
bx-01-146065,Link1.0,Live,146065,LINK-020599,Bronx,17,201,844 ST. ANN'S AVENUE,EAST 161 STREET,EAST 159 STREET,SE,10456,M1-1,40.822338,-73.909427,03/04/2018,04/19/2018,Melrose South-Mott Haven North,2004358,2026190010,2007100,"(40.822338, -73.909427)"
